100,MG,Ipatinga,IPATINGA - BOM RETIRO,POLO UAB DE IPATINGA - UNIVERSIDADE ABERTA DO BRASIL,AV. FERNANDO DE NORONHA,490,BOM RETIRO,35160225, Anexo a Escola Municipal Padre Cícero de Castro,-19.5094924,-42.5627476
101,MG,Itabira,ITABIRA - AMAZONAS,POLO DE APOIO PRESENCIAL DE ITABIRA - UAB,Rua São Paulo,377,Amazonas,35900373,,-19.6381113,-43.2309783
102,MG,Itamonte,ITAMONTE - CENTRO,POLO UAB - ITAMONTE ,Rua Presidente Vagas,149,CENTRO,37466000, ,-22.3154725,-44.7381432
103,MG,Januária,JANUARIA - VILA FATIMA,POLO UAB - JANUARIA,Rua do Sertanejo  ,212,Vila Fátima,39480000, Prédio do Campus/UNIMONTES,-15.4830239,-44.38383109999999
104,MG,João Monlevade,JOAO MONLEVADE - VILA TANQUE,POLO DE APOIO PRESENCIAL UAB - JOAO MONLEVADE,Rua Dezesseis,24,Vila Tanque,35930408,Bloco 3 e 4,-19.821592,-43.138136
105,MG,Lagamar,LAGAMAR - CENTRO,ENSINO A DISTANCIA DANIEL VINICIUS SANTOS MOURA - LAGAMAR - UAB,RUA AMAZONAS ,147 A,CENTRO,38785000, ,-18.1557751,-46.7478493
107,MG,Salinas,SALINAS - CENTRO,POLO DE APOIO PRESENCIAL DO SISTEMA UAB - SALINAS,PRAÇA DR. MORAIS,114,CENTRO,39560000, ,-16.0802242,-42.1177396
108,MG,Santa Rita de Caldas,SANTA RITA DE CALDAS - CENTRO,POLO PRESENCIAL UAB - SANTA RITA DE CALDAS,RUA PREFEITO SEBASTIÃO JANUZI,20,CENTRO,37775000, ,-21.9720912,-46.2474381
109,MG,São João del Rei,SAO JOAO DEL REI - TEJUCO,POLO DE APOIO PRESENCIAL DE SAO JOAO DEL-REI - UAB,Avenida General Osório,779,Tejuco,36300000,,-21.1384128,-44.2672982
110,MG,Teófilo Otoni,TEOFILO OTONI - VILA SANTA CLARA,CENTRO DE APOIO A EDUCACAO A DISTANCIA - TEOFILO OTONI - UAB,RUA ARISTÓTELES DANTAS GUIMARÃES,166,VILA SANTA CLARA,39800000, ,-17.8600089,-41.5091042
111,MG,Uberaba,UBERABA - BOA VISTA,POLO DE APOIO DE PRESENCIAL DE UBERABA - UAB,AVENIDA ELIAS CRUVINEL ,1045,BOA VISTA,28070100,ESCOLA MUN. BOA VISTA,-19.7344445,-47.92198519999999
112,MS,Água Clara,AGUA CLARA - JARDIM DAS PALMEIRAS,POLO UAB - AGUA CLARA,RUA ALBERICO BARBOSA DE SOUZA,39,JARDIM DAS PALMEIRAS,79680000, ,-19.5863953,-53.2180495
113,MS,Rio Brilhante,RIO BRILHANTE - ZONA RURAL,POLO UAB - RIO BRILHANTE,Br.163 - Km 314,,ZONA RURAL,79130000, Fazenda CAdeado Parte II,-21.7803145,-54.5218074
114,MS,São Gabriel do Oeste,SAO GABRIEL DO OESTE - ZONA RURAL,POLO DE APOIO PRESENCIAL DA UAB EM SAO GABRIEL DO OESTE,Rodovia São Gabriel Rio Negro Km 04,,Zona Rural,79490000,Antiga Escola Agrícola,-19.1513605,-54.5218074
115,MT,Juara,JUARA - CENTRO,POLO UAB - JUARA,RUA PIRACICABA,105-W,CENTRO,78575000,,-11.0049836,-57.4627259
116,MT,Pontes e Lacerda,PONTES E LACERDA - CENTRO,POLO UAB - PONTES E LACERDA,Avenida Bom Jesus,643,Centro,78250000,escola,-15.5804435,-59.3800105
117,MT,Primavera do Leste,PRIMAVERA DO LESTE - CENTRO,POLO UAB - PRIMAVERA DO LESTE,Av. Porto Alegre,30,Centro,78850000,,-15.0375659,-54.1720041
118,MT,Ribeirão Cascalheira,RIBEIRAO CASCALHEIRA - SETOR INDUSTRIAL,POLO RUI BARBOSA - RIBEIRAO CASCALHEIRA - UAB,Padre João Bosco,2918,Setor Industrial,78675000,Centro de Educaçã oa Distancia,-12.9302494,-51.5150077
119,MT,São Félix do Araguaia,SAO FELIX DO ARAGUAIA - CENTRO,POLO UAB - SAO FELIX DO ARAGUAIA,Rua João Irineu,480,CENTRO,78670000, ,-11.2748641,-52.5318604
124,PA,Dom Eliseu,DOM ELISEU - PDS,POLO DE APOIO PRESENCIAL DE DOM ELISEU - UAB,"RUA CASTRO ALVES,PDS ",,PDS,68633000, emef manoelito sande de andrade ,-4.191364099999999,-47.8427298
126,PA,Juruti,JURUTI - MARACANA,POLO UAB - JURUTI,Rua Arnaldo Pinheiro,s/n,Maracanã,68170000,Escola Municipal Professora Zelinda de Souza Guimarães,-2.6445394,-56.2929381
129,PA,Parauapebas,PARAUAPEBAS - CIDADE NOVA,POLO PARAUAPEBAS - UAB,"RUA A, QUADRA ESPECIAL",,CIDADE NOVA,68515000,CEUP- CENTRO UNIVERSITÁRIO DE PARAUAPEBAS,-6.0838087,-50.43081590000001
130,PA,Redenção,REDENCAO - VILA PAULISTA,POLO CARAJAS ,Av. Ministro Oscar Thompson,750,Vila Paulista,68552140,Anexo à Escola Maria Conceição Correia,-8.037929799999999,-50.0248984
133,PA,Tailândia,TAILANDIA - NOVO,POLO UNIVERSITARIO DE TAILANDIA - UAB,AVENIDA FLORIANÓPOLIS,96,NOVO,68695000,,-2.8796885,-48.7995122
134,PA,Tucumã,TUCUMA - BAIRRO DAS FLORES,POLO UAB UNIVERSITARIO DE TUCUMA,RUA TUCURUI ,,BAIRRO DAS FLORES,68385000,ESCOLA MUNICIPAL ELCIONE BARBALHO,-6.860455399999999,-51.4309582
135,PB,Alagoa Grande,ALAGOA GRANDE - CONJUNTO CEHAP I,POLO UAB - ALAGOA GRANDE,Rua Francisco Carlos da Silva,,Conjunto CEHAP I,58388000,CAIC,-7.0787824,-35.5876697
136,PB,Araruna,ARARUNA - CENTRO,POLO UAB - ARARUNA,Rua Fausto Herminio de Araújo,S/N,CENTRO,58233000,Anexo da Igreja Matriz,-6.5297073,-35.7188463
137,PB,Campina Grande,CAMPINA GRANDE - CENTRO,POLO MUNICIPAL DE APOIO PRESENCIAL - CAMPINA GRANDE - UAB, RUA SANTA CLARA( LARGO DO AÇUDE NOVO),S/N,CENTRO,58400170, AO LADO DA CERVEJARIA BIG MIX,-7.2218234,-35.8904953
