75,UFMG,ENSINO DE ARTES VISUAIS,ESPECIALIZAÇÃO
1309,UFMG,ESTATUTO DA CRIANCA E DO ADOLESCENTE,EXTENSÃO
78,UFMG,ESTRATEGIA SAUDE DA FAMILIA,ESPECIALIZAÇÃO
77,UFMG,FORMACAO PEDAGOGICA DE EDUCACAO PROFISSIONAL NA SAUDE: ENFERMAGEM,ESPECIALIZAÇÃO
302,UFMG,MATEMATICA,LICENCIATURA
303,UFMG,PEDAGOGIA,LICENCIATURA
973,UFMG,PRODUCAO DE MATERIAL DIDATICO PARA A DIVERSIDADE,APERFEIÇOAMENTO
81,UFMG,QUIMICA,LICENCIATURA
1010,UNIMONTES,EDUCACAO E SAUDE,APERFEIÇOAMENTO
1027,UNIMONTES,GESTAO DE PROGRAMAS DE EDUCACAO ESCOLAR INDIGENA,APERFEIÇOAMENTO
1173,UFOP,MIDIAS NA EDUCACAO,ESPECIALIZAÇÃO
1182,UFOP,MIDIAS NA EDUCACAO,EXTENSÃO
1307,UFOP,PRODUCAO DE MATERIAL DIDATICO PARA A DIVERSIDADE,APERFEIÇOAMENTO
379,UFU,ADMINISTRACAO - PILOTO,BACHARELADO
380,UFU,EDUCACAO DE JOVENS E ADULTOS,APERFEIÇOAMENTO
940,UFU,EDUCACAO PARA AS RELACOES ETNICORRACIAIS,APERFEIÇOAMENTO
838,UFU,GESTAO EM SAUDE,ESPECIALIZAÇÃO
836,UFU,GESTAO PUBLICA,ESPECIALIZAÇÃO
837,UFU,GESTAO PUBLICA MUNICIPAL,ESPECIALIZAÇÃO
1287,UEMG,ESTATUTO DA CRIANCA E DO ADOLESCENTE,EXTENSÃO
1337,IF - Triangulo,COMPUTACAO,LICENCIATURA
1440,IF - Triangulo,LETRAS PORTUGUES,LICENCIATURA
598,UFJF,ADMINISTRACAO,BACHARELADO
783,UFJF,ADMINISTRACAO PUBLICA,BACHARELADO
1132,UFJF,COMPUTACAO,LICENCIATURA
1321,UFJF,EDUCACAO E SAUDE,APERFEIÇOAMENTO
